mid ,date ,venue,bat_team,bow_team,batsman,bowler,runs,wickets,overs,runs_last5,wickets_last 5,striker,nonstriker,total
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Zampa,42,2,6.1,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Zampa,48,2,6.2,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Zampa,52,2,6.3,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Zampa,53,2,6.4,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Zampa,54,2,6.5,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Zampa,55,2,6.6,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Ashwin,56,2,7.1,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Ashwin,60,2,7.2,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Ashwin,61,2,7.3,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Ashwin,65,2,7.4,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Ashwin,66,2,7.5,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Ashwin,72,2,7.6,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Chahal,72,2,8.1,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Chahal,73,2,8.2,,,,,177
